NCRO_1000000	hsa-miR-548f-5
NCRO_1000689	hsa-miR-5687
NCRO_1000690	hsa-miR-300
NCRO_1000691	hsa-miR-23b-5p
NCRO_1000692	hsa-miR-587
NCRO_1000693	hsa-miR-548k
NCRO_1000694	hsa-miR-1539
NCRO_1000695	hsa-miR-1263
NCRO_1000696	hsa-miR-95-5p
NCRO_1000697	hsa-miR-6789-3p
NCRO_1000698	hsa-miR-6821-3p
NCRO_1000699	hsa-miR-744
NCRO_1000700	hsa-miR-4643
NCRO_1000701	hsa-miR-4255
NCRO_1000702	hsa-miR-518b
NCRO_1000703	hsa-miR-6079
NCRO_1000704	hsa-miR-222
NCRO_1000705	hsa-miR-4646-3p
NCRO_1000706	hsa-miR-6824
NCRO_1000707	hsa-miR-3116
NCRO_1000708	hsa-miR-3663-3p
NCRO_1000709	hsa-miR-329-3p
NCRO_1000710	hsa-miR-1321
NCRO_1000711	hsa-miR-7851-3p
NCRO_1000712	hsa-miR-632
NCRO_1000713	hsa-miR-892b
NCRO_1000714	hsa-miR-4771-1
NCRO_1000715	hsa-miR-6788-5p
NCRO_1000716	hsa-miR-873
NCRO_1000717	hsa-miR-3679
NCRO_1000718	hsa-miR-592
NCRO_1000719	hsa-miR-4700-3p
NCRO_1000720	hsa-miR-4737
NCRO_1000721	hsa-miR-3614-3p
NCRO_1000722	hsa-miR-6738-3p
NCRO_1000723	hsa-miR-4297
NCRO_1000724	hsa-miR-6842-3p
NCRO_1000725	hsa-miR-3151-5p
NCRO_1000726	hsa-miR-6131
NCRO_1000727	hsa-miR-6756-3p
NCRO_1000728	hsa-miR-147b
NCRO_1000729	hsa-miR-3135a
NCRO_1000730	hsa-miR-3911
NCRO_1000731	hsa-miR-524
NCRO_1000732	hsa-miR-3166
NCRO_1000733	hsa-miR-4726-3p
NCRO_1000734	hsa-miR-93-5p
NCRO_1000735	hsa-miR-3611
NCRO_1000736	hsa-miR-1250-5p
NCRO_1000737	hsa-miR-4495
NCRO_1000738	hsa-miR-541-3p
NCRO_1000739	hsa-miR-23c
NCRO_1000740	hsa-miR-423-3p
NCRO_1000741	hsa-miR-4474-5p
NCRO_1000742	hsa-miR-6774
NCRO_1000743	hsa-miR-5583-3p
NCRO_1000744	hsa-miR-4474
NCRO_1000745	hsa-miR-4773
NCRO_1000746	hsa-miR-3180-5p
NCRO_1000747	hsa-miR-889-5p
NCRO_1000748	hsa-miR-219a-2-3p
NCRO_1000749	hsa-miR-4642
NCRO_1000750	hsa-miR-6812-3p
NCRO_1000751	hsa-miR-4711-5p
NCRO_1000752	hsa-miR-5690
NCRO_1000753	hsa-miR-4255
NCRO_1000754	hsa-miR-6739-3p
NCRO_1000755	hsa-miR-652-3p
NCRO_1000756	hsa-miR-7706
NCRO_1000757	hsa-miR-676-3p
NCRO_1000758	hsa-miR-3202-1
NCRO_1000759	hsa-miR-6759-5p
NCRO_1000760	hsa-miR-519e-5p
NCRO_1000761	hsa-miR-6514
NCRO_1000762	hsa-miR-6887
NCRO_1000763	hsa-miR-3158-3p
NCRO_1000764	hsa-miR-3687-2
NCRO_1000765	hsa-miR-378d-1
NCRO_1000766	hsa-miR-4305
NCRO_1000767	hsa-miR-620
NCRO_1000768	hsa-miR-188-5p
NCRO_1000769	hsa-miR-4691
NCRO_1000770	hsa-miR-377
NCRO_1000771	hsa-miR-3184
NCRO_1000772	hsa-miR-551b
NCRO_1000773	hsa-miR-491-5p
NCRO_1000774	hsa-miR-4766
NCRO_1000775	hsa-miR-1229
NCRO_1000776	hsa-miR-6765-5p
NCRO_1000777	hsa-miR-4765
NCRO_1000778	hsa-miR-572
NCRO_1000779	hsa-miR-7975
NCRO_1000780	hsa-miR-3646
NCRO_1000781	hsa-miR-449b
NCRO_1000782	hsa-miR-6509-3p
NCRO_1000783	hsa-miR-219a-5p
NCRO_1000784	hsa-miR-6812-5p
NCRO_1000785	hsa-miR-210-5p
NCRO_1000786	hsa-miR-4793-3p
NCRO_1000787	hsa-miR-136
NCRO_1000788	hsa-miR-577
NCRO_1000789	hsa-miR-629-5p
NCRO_1000790	hsa-miR-6728-5p
NCRO_1000791	hsa-miR-657
NCRO_1000792	hsa-miR-4478
NCRO_1000793	hsa-miR-3616-5p
NCRO_1000794	hsa-miR-660
NCRO_1000795	hsa-miR-6852
NCRO_1000796	hsa-miR-5093
NCRO_1000797	hsa-miR-3915
NCRO_1000798	hsa-miR-4743
NCRO_1000799	hsa-miR-6859-5p
NCRO_1000800	hsa-miR-6798-5p
NCRO_1000801	hsa-miR-3120
NCRO_1000802	hsa-miR-3648
NCRO_1000803	hsa-miR-6889-5p
NCRO_1000804	hsa-miR-99a-5p
NCRO_1000805	hsa-miR-1256
NCRO_1000806	hsa-miR-4419b
NCRO_1000807	hsa-miR-466
NCRO_1000808	hsa-miR-591
NCRO_1000809	hsa-miR-4731-5p
NCRO_1000810	hsa-miR-769-3p
NCRO_1000811	hsa-miR-520f-3p
NCRO_1000812	hsa-miR-767-3p
NCRO_1000813	hsa-miR-186-5p
NCRO_1000814	hsa-miR-8053
NCRO_1000815	hsa-miR-3124
NCRO_1000816	hsa-miR-1468-3p
NCRO_1000817	hsa-miR-744-5p
NCRO_1000818	hsa-miR-202-3p
NCRO_1000819	hsa-miR-4709
NCRO_1000820	hsa-miR-3927
NCRO_1000821	hsa-miR-7846-3p
NCRO_1000822	hsa-miR-2114
NCRO_1000823	hsa-miR-4315-1
NCRO_1000824	hsa-miR-937-5p
NCRO_1000825	hsa-miR-548aj-1
NCRO_1000826	hsa-miR-4317
NCRO_1000827	hsa-miR-8070
NCRO_1000828	hsa-miR-891a
NCRO_1000829	hsa-miR-548h-5p
NCRO_1000830	hsa-miR-5582-3p
NCRO_1000831	hsa-miR-548j
NCRO_1000832	hsa-miR-5695
NCRO_1000833	hsa-miR-208a-5p
NCRO_1000834	hsa-miR-3188
NCRO_1000835	hsa-miR-3646
NCRO_1000836	hsa-miR-3196
NCRO_1000837	hsa-miR-6833-3p
NCRO_1000838	hsa-miR-508-3p
NCRO_1000839	hsa-miR-3913-1
NCRO_1000840	hsa-miR-6729
NCRO_1000841	hsa-miR-6734-5p
NCRO_1000842	hsa-miR-556-3p
NCRO_1000843	hsa-miR-4318
NCRO_1000844	hsa-miR-6502
NCRO_1000845	hsa-miR-4695-3p
NCRO_1000846	hsa-miR-6827
NCRO_1000847	hsa-miR-3972
NCRO_1000848	hsa-miR-4277
NCRO_1000849	hsa-miR-4308
NCRO_1000850	hsa-miR-6813-3p
NCRO_1000851	hsa-miR-7160-3p
NCRO_1000852	hsa-miR-5706
NCRO_1000853	hsa-miR-6743-5p
NCRO_1000854	hsa-miR-144-3p
NCRO_1000855	hsa-miR-329-5p
NCRO_1000856	hsa-miR-4741
NCRO_1000857	hsa-miR-4258
NCRO_1000858	hsa-miR-155-3p
NCRO_1000859	hsa-miR-618
NCRO_1000860	hsa-miR-28-3p
NCRO_1000861	hsa-miR-488-5p
NCRO_1000862	hsa-miR-3607-5p
NCRO_1000863	hsa-miR-1202
NCRO_1000864	hsa-miR-3144
NCRO_1000865	hsa-miR-451a
NCRO_1000866	hsa-miR-548i-1
NCRO_1000867	hsa-miR-7111-3p
NCRO_1000868	hsa-miR-1245a
NCRO_1000869	hsa-miR-2052
NCRO_1000870	hsa-miR-378g
NCRO_1000871	hsa-miR-6805-5p
NCRO_1000872	hsa-miR-4287
NCRO_1000873	hsa-miR-6822-3p
NCRO_1000874	hsa-miR-3155a
NCRO_1000875	hsa-miR-1908-5p
NCRO_1000876	hsa-miR-5688
NCRO_1000877	hsa-miR-542-3p
NCRO_1000878	hsa-miR-8080
NCRO_1000879	hsa-miR-6824-3p
NCRO_1000880	hsa-miR-4446
NCRO_1000881	hsa-miR-548p
NCRO_1000882	hsa-miR-3177-3p
NCRO_1000883	hsa-miR-6770-3p
NCRO_1000884	hsa-miR-6861-5p
NCRO_1000885	hsa-miR-527
NCRO_1000886	hsa-miR-6510-3p
NCRO_1000887	hsa-miR-4488
NCRO_1000888	hsa-miR-6819-5p
NCRO_1000889	hsa-miR-95-3p
NCRO_1000890	hsa-miR-8076
NCRO_1000891	hsa-miR-6869
NCRO_1000892	hsa-miR-665
NCRO_1000893	hsa-miR-4663
NCRO_1000894	hsa-miR-548d-2
NCRO_1000895	hsa-miR-3658
NCRO_1000896	hsa-miR-512-5p
NCRO_1000897	hsa-miR-3173
NCRO_1000898	hsa-miR-643
NCRO_1000899	hsa-miR-1260b
NCRO_1000900	hsa-miR-892b
NCRO_1000901	hsa-miR-466
NCRO_1000902	hsa-miR-2115-5p
NCRO_1000903	hsa-miR-1270
NCRO_1000904	hsa-miR-3179-1
NCRO_1000905	hsa-miR-4799
NCRO_1000906	hsa-miR-487b-5p
NCRO_1000907	hsa-miR-548ac
NCRO_1000908	hsa-miR-429
NCRO_1000909	hsa-miR-4439
NCRO_1000910	hsa-miR-651
NCRO_1000911	hsa-miR-558
NCRO_1000912	hsa-miR-1184-2
NCRO_1000913	hsa-miR-1224
NCRO_1000914	hsa-miR-329-1
NCRO_1000915	hsa-miR-200a-5p
NCRO_1000916	hsa-miR-6509-5p
NCRO_1000917	hsa-miR-655-5p
NCRO_1000918	hsa-miR-571
NCRO_1000919	hsa-miR-378f
NCRO_1000920	hsa-miR-6076
NCRO_1000921	hsa-miR-212-5p
NCRO_1000922	hsa-miR-3607
NCRO_1000923	hsa-miR-766-3p
NCRO_1000924	hsa-miR-6071
NCRO_1000925	hsa-miR-676-5p
NCRO_1000926	hsa-miR-338-3p
NCRO_1000927	hsa-miR-4727
NCRO_1000928	hsa-miR-1292
NCRO_1000929	hsa-miR-325
NCRO_1000930	hsa-miR-8059
NCRO_1000931	hsa-miR-3662
NCRO_1000932	hsa-miR-190b
NCRO_1000933	hsa-miR-106a-5p
NCRO_1000934	hsa-miR-4664-3p
NCRO_1000935	hsa-let-7b-3p
NCRO_1000936	hsa-miR-892c-5p
NCRO_1000937	hsa-miR-4738-5p
NCRO_1000938	hsa-miR-191-5p
NCRO_1000939	hsa-miR-4776-5p
NCRO_1000940	hsa-miR-380-3p
NCRO_1000941	hsa-miR-5684
NCRO_1000942	hsa-miR-3138
NCRO_1000943	hsa-miR-2276-3p
NCRO_1000944	hsa-miR-3928-5p
NCRO_1000945	hsa-miR-4999
NCRO_1000946	hsa-miR-26a-5p
NCRO_1000947	hsa-miR-4688
NCRO_1000948	hsa-miR-302b-3p
NCRO_1000949	hsa-miR-6752-5p
NCRO_1000950	hsa-miR-99b
NCRO_1000951	hsa-miR-6505-5p
NCRO_1000952	hsa-miR-4664-5p
NCRO_1000953	hsa-miR-4755-5p
NCRO_1000954	hsa-miR-3692
NCRO_1000955	hsa-miR-1912
NCRO_1000956	hsa-miR-195-3p
NCRO_1000957	hsa-miR-548aa-1
NCRO_1000958	hsa-miR-6826-3p
NCRO_1000959	hsa-miR-4667
NCRO_1000960	hsa-miR-641
NCRO_1000961	hsa-miR-5002-3p
NCRO_1000962	hsa-miR-6879-3p
NCRO_1000963	hsa-miR-6829-3p
NCRO_1000964	hsa-miR-432
NCRO_1000965	hsa-miR-6770-1
NCRO_1000966	hsa-miR-4715-5p
NCRO_1000967	hsa-miR-342-3p
NCRO_1000968	hsa-miR-3922
NCRO_1000969	hsa-miR-651-5p
NCRO_1000970	hsa-miR-567
NCRO_1000971	hsa-miR-378h
NCRO_1000972	hsa-miR-523
NCRO_1000973	hsa-miR-376b-5p
NCRO_1000974	hsa-miR-7110
NCRO_1000975	hsa-miR-4303
NCRO_1000976	hsa-miR-6866-5p
NCRO_1000977	hsa-miR-3648-1
NCRO_1000978	hsa-miR-7973
NCRO_1000979	hsa-miR-4453
NCRO_1000980	hsa-miR-516b-2
NCRO_1000981	hsa-miR-339-3p
NCRO_1000982	hsa-miR-3977
NCRO_1000983	hsa-miR-135a-5p
NCRO_1000984	hsa-miR-199a-5p
NCRO_1000985	hsa-miR-1911
NCRO_1000986	hsa-miR-549a
NCRO_1000987	hsa-miR-2392
NCRO_1000988	hsa-miR-127
NCRO_1000989	hsa-miR-520b
NCRO_1000990	hsa-miR-4286
NCRO_1000991	hsa-miR-553
NCRO_1000992	hsa-miR-146b-5p
NCRO_1000993	hsa-miR-4539
NCRO_1000994	hsa-miR-7975
NCRO_1000995	hsa-miR-3612
NCRO_1000996	hsa-let-7a-5p
NCRO_1000997	hsa-miR-4633
NCRO_1000998	hsa-miR-3670-3
NCRO_1000999	hsa-miR-1267
NCRO_1001000	hsa-miR-34b
NCRO_1001001	hsa-miR-4767
NCRO_1001002	hsa-miR-5047
NCRO_1001003	hsa-miR-323b-5p
NCRO_1001004	hsa-miR-6857-3p
NCRO_1001005	hsa-let-7f-2-3p
NCRO_1001006	hsa-miR-1266-5p
NCRO_1001007	hsa-miR-3664-3p
NCRO_1001008	hsa-miR-329-2
NCRO_1001009	hsa-miR-4505
NCRO_1001010	hsa-miR-614
NCRO_1001011	hsa-miR-4775
NCRO_1001012	hsa-miR-6751-5p
NCRO_1001013	hsa-miR-6884-5p
NCRO_1001014	hsa-miR-656-3p
NCRO_1001015	hsa-miR-4486
NCRO_1001016	hsa-miR-505
NCRO_1001017	hsa-miR-1293
NCRO_1001018	hsa-miR-4431
NCRO_1001019	hsa-miR-6076
NCRO_1001020	hsa-miR-3620
NCRO_1001021	hsa-miR-8485
NCRO_1001022	hsa-miR-6755
NCRO_1001023	hsa-miR-24-1
NCRO_1001024	hsa-miR-3614
NCRO_1001025	hsa-miR-4750-3p
NCRO_1001026	hsa-miR-3529
NCRO_1001027	hsa-miR-653-5p
NCRO_1001028	hsa-miR-548o-5p
NCRO_1001029	hsa-miR-5001
NCRO_1001030	hsa-miR-337
NCRO_1001031	hsa-miR-4714-3p
NCRO_1001032	hsa-miR-20b-3p
NCRO_1001033	hsa-miR-8055
NCRO_1001034	hsa-miR-3117-3p
NCRO_1001035	hsa-miR-5571-5p
NCRO_1001036	hsa-miR-8089
NCRO_1001037	hsa-miR-3127-3p
NCRO_1001038	hsa-miR-3064
NCRO_1001039	hsa-miR-3680-3p
NCRO_1001040	hsa-miR-124-3
NCRO_1001041	hsa-miR-30e-5p
NCRO_1001042	hsa-miR-6508-5p
NCRO_1001043	hsa-miR-489
NCRO_1001044	hsa-miR-2114-3p
NCRO_1001045	hsa-miR-520g-3p
NCRO_1001046	hsa-miR-5585-5p
NCRO_1001047	hsa-miR-4661
NCRO_1001048	hsa-miR-216a-3p
NCRO_1001049	hsa-miR-3133
NCRO_1001050	hsa-miR-548as
NCRO_1001051	hsa-miR-4649
NCRO_1001052	hsa-miR-491-3p
NCRO_1001053	hsa-miR-605-3p
NCRO_1001054	hsa-miR-378i
NCRO_1001055	hsa-miR-3610
NCRO_1001056	hsa-miR-1-1
NCRO_1001057	hsa-miR-454-5p
NCRO_1001058	hsa-miR-8067
NCRO_1001059	hsa-miR-3945
NCRO_1001060	hsa-miR-129-2
NCRO_1001061	hsa-miR-4726-5p
NCRO_1001062	hsa-miR-7974
NCRO_1001063	hsa-miR-3199-2
NCRO_1001064	hsa-miR-499a-3p
NCRO_1001065	hsa-miR-6165
NCRO_1001066	hsa-miR-6838-5p
NCRO_1001067	hsa-miR-6863
NCRO_1001068	hsa-miR-125b-1-3p
NCRO_1001069	hsa-miR-624
NCRO_1001070	hsa-miR-4714-5p
NCRO_1001071	hsa-miR-4638-3p
NCRO_1001072	hsa-miR-4773-2
NCRO_1001073	hsa-miR-7852-3p
NCRO_1001074	hsa-miR-4776-1
NCRO_1001075	hsa-miR-302a-5p
NCRO_1001076	hsa-miR-761
NCRO_1001077	hsa-miR-3142
NCRO_1001078	hsa-miR-4782-5p
NCRO_1001079	hsa-miR-711
NCRO_1001080	hsa-miR-218-1
NCRO_1001081	hsa-miR-3136-3p
NCRO_1001082	hsa-miR-362-3p
NCRO_1001083	hsa-miR-3657
NCRO_1001084	hsa-miR-523-5p
NCRO_1001085	hsa-miR-331-5p
NCRO_1001086	hsa-miR-4261
NCRO_1001087	hsa-miR-1275
NCRO_1001088	hsa-miR-3926
NCRO_1001089	hsa-miR-7109-5p
NCRO_1001090	hsa-miR-34b-3p
NCRO_1001091	hsa-miR-3145-5p
NCRO_1001092	hsa-miR-4419b
NCRO_1001093	hsa-miR-374b-3p
NCRO_1001094	hsa-miR-365a-3p
NCRO_1001095	hsa-miR-3650
NCRO_1001096	hsa-miR-194-5p
NCRO_1001097	hsa-miR-1343-3p
NCRO_1001098	hsa-miR-570-3p
NCRO_1001099	hsa-miR-8055
NCRO_1001100	hsa-miR-7113-5p
NCRO_1001101	hsa-miR-548ag-2
NCRO_1001102	hsa-miR-1279
NCRO_1001103	hsa-miR-2682-5p
NCRO_1001104	hsa-miR-6809-3p
NCRO_1001105	hsa-miR-518c-3p
NCRO_1001106	hsa-miR-129-1-3p
NCRO_1001107	hsa-miR-6877
NCRO_1001108	hsa-miR-4478
NCRO_1001109	hsa-miR-6892-3p
NCRO_1001110	hsa-miR-3157
NCRO_1001111	hsa-miR-3925-5p
NCRO_1001112	hsa-miR-1200
NCRO_1001113	hsa-miR-4676
NCRO_1001114	hsa-miR-5707
NCRO_1001115	hsa-miR-664a
NCRO_1001116	hsa-miR-7152-3p
NCRO_1001117	hsa-miR-544a
NCRO_1001118	hsa-miR-9500
NCRO_1001119	hsa-miR-128-2-5p
NCRO_1001120	hsa-miR-380-5p
NCRO_1001121	hsa-miR-6895-3p
NCRO_1001122	hsa-miR-8076
NCRO_1001123	hsa-miR-1273h
NCRO_1001124	hsa-miR-101-3p
NCRO_1001125	hsa-miR-1323
NCRO_1001126	hsa-miR-1283-2
NCRO_1001127	hsa-miR-92a-2-5p
NCRO_1001128	hsa-miR-516b-3p
NCRO_1001129	hsa-miR-127-5p
NCRO_1001130	hsa-miR-378f
NCRO_1001131	hsa-miR-4659b-5p
NCRO_1001132	hsa-miR-6715a
NCRO_1001133	hsa-miR-4723-3p
NCRO_1001134	hsa-miR-6078
NCRO_1001135	hsa-miR-194-1
NCRO_1001136	hsa-miR-3144-3p
NCRO_1001137	hsa-miR-4284
NCRO_1001138	hsa-miR-6806-3p
NCRO_1001139	hsa-miR-520h
NCRO_1001140	hsa-miR-3200
NCRO_1001141	hsa-miR-4658
NCRO_1001142	hsa-miR-190a-5p
NCRO_1001143	hsa-miR-2114-5p
NCRO_1001144	hsa-miR-215-5p
NCRO_1001145	hsa-miR-4475
NCRO_1001146	hsa-miR-6796-3p
NCRO_1001147	hsa-miR-569
NCRO_1001148	hsa-miR-3609
NCRO_1001149	hsa-miR-4647
NCRO_1001150	hsa-miR-3618
NCRO_1001151	hsa-miR-6817-5p
NCRO_1001152	hsa-miR-134-5p
NCRO_1001153	hsa-miR-206
NCRO_1001154	hsa-miR-6849-3p
NCRO_1001155	hsa-miR-7155-5p
NCRO_1001156	hsa-miR-1268b
NCRO_1001157	hsa-miR-609
NCRO_1001158	hsa-miR-579-5p
NCRO_1001159	hsa-miR-7704
NCRO_1001160	hsa-miR-4776-2
NCRO_1001161	hsa-miR-942-5p
NCRO_1001162	hsa-miR-4522
NCRO_1001163	hsa-miR-335-5p
NCRO_1001164	hsa-miR-4769-5p
NCRO_1001165	hsa-miR-4662a-3p
NCRO_1001166	hsa-miR-3174
NCRO_1001167	hsa-miR-6883-5p
NCRO_1001168	hsa-miR-4254
NCRO_1001169	hsa-miR-6739
NCRO_1001170	hsa-miR-4687
NCRO_1001171	hsa-miR-4656
NCRO_1001172	hsa-miR-6792-5p
NCRO_1001173	hsa-miR-934
NCRO_1001174	hsa-miR-658
NCRO_1001175	hsa-miR-196b-3p
NCRO_1001176	hsa-miR-6785-5p
NCRO_1001177	hsa-miR-4444-2
NCRO_1001178	hsa-miR-3191-5p
NCRO_1001179	hsa-miR-30a-5p
NCRO_1001180	hsa-miR-6876-5p
NCRO_1001181	hsa-miR-598-3p
NCRO_1001182	hsa-miR-3187-5p
NCRO_1001183	hsa-miR-323b
NCRO_1001184	hsa-miR-1294
NCRO_1001185	hsa-miR-3144-5p
NCRO_1001186	hsa-miR-4683
NCRO_1001187	hsa-miR-4648
NCRO_1001188	hsa-miR-5696
NCRO_1001189	hsa-miR-563
NCRO_1001190	hsa-miR-4459
NCRO_1001191	hsa-miR-4485-3p
NCRO_1001192	hsa-miR-4256
NCRO_1001193	hsa-miR-4720-5p
NCRO_1001194	hsa-miR-513a-2
NCRO_1001195	hsa-miR-4725
NCRO_1001196	hsa-miR-548aj-3p
NCRO_1001197	hsa-miR-548h-1
NCRO_1001198	hsa-miR-4538
NCRO_1001199	hsa-miR-934
NCRO_1001200	hsa-miR-183-3p
NCRO_1001201	hsa-miR-23b-3p
NCRO_1001202	hsa-miR-4455
NCRO_1001203	hsa-miR-596
NCRO_1001204	hsa-miR-5591
NCRO_1001205	hsa-miR-6745
NCRO_1001206	hsa-miR-96-3p
NCRO_1001207	hsa-miR-342-5p
NCRO_1001208	hsa-miR-619
NCRO_1001209	hsa-miR-4693
NCRO_1001210	hsa-miR-301b-3p
NCRO_1001211	hsa-miR-492
NCRO_1001212	hsa-miR-3176
NCRO_1001213	hsa-miR-3182
NCRO_1001214	hsa-miR-3682
NCRO_1001215	hsa-miR-4743-5p
NCRO_1001216	hsa-miR-4263
NCRO_1001217	hsa-miR-4668
NCRO_1001218	hsa-miR-527
NCRO_1001219	hsa-miR-4693-5p
NCRO_1001220	hsa-miR-3199-1
NCRO_1001221	hsa-miR-2278
NCRO_1001222	hsa-miR-145-3p
NCRO_1001223	hsa-miR-3141
NCRO_1001224	hsa-miR-370
NCRO_1001225	hsa-miR-3179-2
NCRO_1001226	hsa-miR-711
NCRO_1001227	hsa-miR-6799
NCRO_1001228	hsa-miR-5690
NCRO_1001229	hsa-miR-4745-5p
NCRO_1001230	hsa-miR-1976
NCRO_1001231	hsa-miR-2861
NCRO_1001232	hsa-miR-3065
NCRO_1001233	hsa-miR-568
NCRO_1001234	hsa-miR-5095
NCRO_1001235	hsa-miR-936
NCRO_1001236	hsa-miR-6503-3p
NCRO_1001237	hsa-miR-4652
NCRO_1001238	hsa-miR-7844
NCRO_1001239	hsa-miR-18b
NCRO_1001240	hsa-miR-3689c
NCRO_1001241	hsa-miR-4779
NCRO_1001242	hsa-miR-146b-3p
NCRO_1001243	hsa-miR-6842-5p
NCRO_1001244	hsa-miR-3529-5p
NCRO_1001245	hsa-miR-3922-3p
NCRO_1001246	hsa-miR-3935
NCRO_1001247	hsa-miR-6722-5p
NCRO_1001248	hsa-miR-4525
NCRO_1001249	hsa-miR-181d
NCRO_1001250	hsa-miR-6784-3p
NCRO_1001251	hsa-miR-6776-5p
NCRO_1001252	hsa-miR-670
NCRO_1001253	hsa-miR-6128
NCRO_1001254	hsa-miR-337-5p
NCRO_1001255	hsa-miR-208a-3p
NCRO_1001256	hsa-miR-4477b
NCRO_1001257	hsa-miR-5190
NCRO_1001258	hsa-miR-4804
NCRO_1001259	hsa-miR-4301
NCRO_1001260	hsa-miR-1205
NCRO_1001261	hsa-miR-216b-3p
NCRO_1001262	hsa-miR-1255b-2
NCRO_1001263	hsa-miR-6722
NCRO_1001264	hsa-miR-4649-5p
NCRO_1001265	hsa-miR-7848
NCRO_1001266	hsa-miR-4307
NCRO_1001267	hsa-miR-199b-3p
NCRO_1001268	hsa-miR-450a-2-3p
NCRO_1001269	hsa-miR-4437
NCRO_1001270	hsa-miR-217
NCRO_1001271	hsa-miR-16-2
NCRO_1001272	hsa-miR-3945
NCRO_1001273	hsa-miR-5092
NCRO_1001274	hsa-miR-378c
NCRO_1001275	hsa-miR-4481
NCRO_1001276	hsa-miR-6502-3p
NCRO_1001277	hsa-miR-552-5p
NCRO_1001278	hsa-miR-4718
NCRO_1001279	hsa-miR-4768-5p
NCRO_1001280	hsa-miR-146b
NCRO_1001281	hsa-miR-3609
NCRO_1001282	hsa-miR-606
NCRO_1001283	hsa-miR-5094
NCRO_1001284	hsa-miR-1306
NCRO_1001285	hsa-miR-3661
NCRO_1001286	hsa-miR-6802-5p
NCRO_1001287	hsa-miR-5702
NCRO_1001288	hsa-miR-663a
NCRO_1001289	hsa-miR-4313
NCRO_1001290	hsa-miR-3197
NCRO_1001291	hsa-miR-7156
NCRO_1001292	hsa-miR-1228-3p
NCRO_1001293	hsa-miR-937-3p
NCRO_1001294	hsa-miR-4700-5p
NCRO_1001295	hsa-miR-6765-3p
NCRO_1001296	hsa-miR-6730-3p
NCRO_1001297	hsa-miR-6075
NCRO_1001298	hsa-miR-582-5p
NCRO_1001299	hsa-miR-1827
NCRO_1001300	hsa-miR-6735-3p
NCRO_1001301	hsa-miR-518c-5p
NCRO_1001302	hsa-miR-876
NCRO_1001303	hsa-miR-3909
NCRO_1001304	hsa-miR-4744
NCRO_1001305	hsa-miR-140-5p
NCRO_1001306	hsa-miR-4786-3p
NCRO_1001307	hsa-miR-1184
NCRO_1001308	hsa-miR-4468
NCRO_1001309	hsa-miR-301a-3p
NCRO_1001310	hsa-miR-203b-5p
NCRO_1001311	hsa-miR-4506
NCRO_1001312	hsa-miR-6760-3p
NCRO_1001313	hsa-miR-6786-3p
NCRO_1001314	hsa-miR-26a-2
NCRO_1001315	hsa-miR-1289-2
NCRO_1001316	hsa-miR-6761
NCRO_1001317	hsa-miR-520a-5p
NCRO_1001318	hsa-miR-3664-5p
NCRO_1001319	hsa-miR-7856
NCRO_1001320	hsa-miR-655-3p
NCRO_1001321	hsa-miR-3977
NCRO_1001322	hsa-miR-4529
NCRO_1001323	hsa-miR-4304
NCRO_1001324	hsa-miR-4322
NCRO_1001325	hsa-miR-3910-2
NCRO_1001326	hsa-miR-1207-3p
NCRO_1001327	hsa-miR-223
NCRO_1001328	hsa-miR-5089-5p
NCRO_1001329	hsa-miR-6811-3p
NCRO_1001330	hsa-miR-517a
NCRO_1001331	hsa-miR-4317
NCRO_1001332	hsa-miR-4746-3p
NCRO_1001333	hsa-miR-1253
NCRO_1001334	hsa-miR-3668
NCRO_1001335	hsa-miR-486-1
NCRO_1001336	hsa-miR-154
NCRO_1001337	hsa-miR-6892-5p
NCRO_1001338	hsa-miR-3942-3p
NCRO_1001339	hsa-miR-449c-5p
NCRO_1001340	hsa-miR-551a
NCRO_1001341	hsa-miR-3064-3p
NCRO_1001342	hsa-miR-4498
NCRO_1001343	hsa-miR-6886-5p
NCRO_1001344	hsa-miR-608
NCRO_1001345	hsa-miR-548d-5p
NCRO_1001346	hsa-miR-3149
NCRO_1001347	hsa-miR-29a-5p
NCRO_1001348	hsa-miR-3137
NCRO_1001349	hsa-miR-8086
NCRO_1001350	hsa-miR-4515
NCRO_1001351	hsa-miR-3915
NCRO_1001352	hsa-miR-4640
NCRO_1001353	hsa-miR-4653-3p
NCRO_1001354	hsa-miR-8087
NCRO_1001355	hsa-miR-382-3p
NCRO_1001356	hsa-miR-3670-1
NCRO_1001357	hsa-miR-4493
NCRO_1001358	hsa-miR-1250
NCRO_1001359	hsa-miR-1289
NCRO_1001360	hsa-miR-1266
NCRO_1001361	hsa-miR-1250-3p
NCRO_1001362	hsa-miR-6888-3p
NCRO_1001363	hsa-miR-4713-5p
NCRO_1001364	hsa-miR-3941
NCRO_1001365	hsa-miR-541-5p
NCRO_1001366	hsa-miR-4273
NCRO_1001367	hsa-miR-8054
NCRO_1001368	hsa-miR-484
NCRO_1001369	hsa-miR-605-5p
NCRO_1001370	hsa-miR-2355-3p
NCRO_1001371	hsa-miR-129-5p
NCRO_1001372	hsa-miR-5096
NCRO_1001373	hsa-miR-5187
NCRO_1001374	hsa-miR-6768-5p
NCRO_1001375	hsa-miR-640
NCRO_1001376	hsa-miR-4313
NCRO_1001377	hsa-miR-4747
NCRO_1001378	hsa-miR-6870-3p
NCRO_1001379	hsa-miR-6876
NCRO_1001380	hsa-miR-6084
